season,date,match_number,match_type,venue,location,team1,team2,toss_won,toss_decision,umpire1,umpire2,reserve_umpire,match_referee,winner,winner_runs,winner_wickets,man_of_match
2023,2023-04-18,25,Group,Rajiv Gandhi International Stadium,Hyderabad,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Nitin Menon,Vinod Seshan,A Bengeri,Shakti Singh,Mumbai Indians,14,0,C Green
2023,2023-04-19,26,Group,Sawai Mansingh Stadium,Jaipur,Lucknow Super Giants,Rajasthan Royals,Rajasthan Royals,field,J Madanagopal,YC Barde,PM Joshi,R Seth,Lucknow Super Giants,10,0,MP Stoinis
2023,2023-04-20,27,Group,Punjab Cricket Association IS Bindra Stadium,Chandigarh,Royal Challengers Bangalore,Punjab Kings,Punjab Kings,field,AK Chaudhary,GR Sadashiv Iyer,M Kuppuraj,Prakash Bhatt,Royal Challengers Bangalore,24,0,Mohammed Siraj
2023,2023-04-20,28,Group,Arun Jaitley Stadium,Delhi,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,field,MA Gough,R Pandit,Abhijit Bhattacharya,Amit Sharma,Delhi Capitals,0,4,I Sharma
2023,2023-04-21,29,Group,MA Chidambaram Stadium,Chennai,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,field,HAS Khalid,VK Sharma,A Bengeri,Shakti Singh,Chennai Super Kings,0,7,RA Jadeja
2023,2023-04-22,30,Group,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow,Gujarat Titans,Lucknow Super Giants,Gujarat Titans,bat,A Totre,RJ Tucker,PM Joshi,R Seth,Gujarat Titans,7,0,MM Sharma
2023,2023-04-22,31,Group,Wankhede Stadium,Mumbai,Punjab Kings,Mumbai Indians,Mumbai Indians,field,CB Gaffaney,GR Sadashiv Iyer,M Kuppuraj,Prakash Bhatt,Punjab Kings,13,0,SM Curran
2023,2023-04-23,32,Group,M Chinnaswamy Stadium,Bengaluru,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,MA Gough,MV Saidharshan Kumar,Abhijit Bhattacharya,Amit Sharma,Royal Challengers Bangalore,7,0,GJ Maxwell
2023,2023-04-23,33,Group,Eden Gardens,Kolkata,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,Nitin Menon,Tapan Sharma,A Bengeri,Shakti Singh,Chennai Super Kings,49,0,AM Rahane
2023,2023-04-24,34,Group,Rajiv Gandhi International Stadium,Hyderabad,Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,bat,J Madanagopal,RJ Tucker,PM Joshi,R Seth,Delhi Capitals,7,0,AR Patel
2023,2023-04-25,35,Group,Narendra Modi Stadium,Ahmedabad,Gujarat Titans,Mumbai Indians,Mumbai Indians,field,AK Chaudhary,A Nand Kishore,M Krishnadas,SA Satbhai,Gujarat Titans,55,0,A Manohar
