team_id,team_name
1,Chennai Super Kings
2,Delhi Capitals
3,Gujarat Titans
4,Kolkata Knight Riders
5,Lucknow Super Giants
6,Mumbai Indians
7,No Result
8,Punjab Kings
9,Rajasthan Royals
10,Royal Challengers Bangalore
11,Sunrisers Hyderabad
